"id","lab_method_id","nutrient_id"
"1000","1000","1024"
"1001","1001","1002"
"1002","1001","1003"
"1003","1002","1004"
"1004","1003","1004"
"1005","1004","1007"
"1006","1005","1010"
"1007","1005","1011"
"1008","1005","1012"
"1009","1005","1013"
"1010","1005","1014"
"1011","1005","1075"
"1012","1006","1018"
"1013","1007","1051"
"1014","1008","1079"
"1015","1009","1087"
"1016","1009","1089"
"1017","1009","1090"
"1018","1009","1091"
"1019","1009","1092"
"1020","1009","1093"
"1021","1009","1095"
"1022","1009","1098"
"1023","1009","1101"
"1024","1010","1103"
"1025","1011","1165"
"1026","1012","1165"
"1027","1013","1166"
"1028","1014","1167"
"1029","1015","1170"
"1030","1016","1175"
"1031","1017","1177"
"1032","1018","1002"
"1033","1019","1004"
"1035","1021","1004"
"1036","1022","1007"
"1037","1023","1009"
"1038","1024","1010"
"1039","1024","1011"
"1040","1024","1012"
"1041","1024","1013"
"1042","1024","1014"
"1043","1025","1023"
"1044","1026","1024"
"1045","1027","1051"
"1046","1028","1051"
"1047","1029","1057"
"1048","1029","1058"
"1049","1030","1075"
"1051","1032","1105"
"1052","1033","1162"
"1053","1034","1165"
"1054","1035","1166"
"1055","1036","1167"
"1056","1037","1170"
"1057","1038","1175"
"1058","1039","1178"
"1059","1040","1210"
"1060","1040","1211"
"1061","1040","1212"
"1062","1040","1213"
"1063","1040","1214"
"1064","1040","1215"
"1065","1040","1216"
"1066","1040","1217"
"1067","1040","1218"
"1068","1040","1219"
"1069","1040","1220"
"1070","1040","1221"
"1071","1040","1222"
"1072","1040","1223"
"1073","1040","1224"
"1074","1040","1225"
"1075","1040","1226"
"1076","1040","1227"
"1077","1040","1228"
"1078","1041","1253"
"1079","1042","1260"
"1080","1042","1335"
"1081","1042","1333"
"1082","1042","1303"
"1084","1042","1276"
"1085","1042","1414"
"1086","1042","1406"
"1087","1042","1305"
"1088","1042","1405"
"1089","1042","1334"
"1090","1042","1278"
"1091","1042","1312"
"1092","1042","1411"
"1093","1042","1280"
"1094","1042","1272"
"1095","1042","1292"
"1096","1042","1315"
"1097","1042","1258"
"1098","1042","1265"
"1099","1042","1293"
"1100","1042","1316"
"1101","1042","1404"
"1102","1042","1266"
"1103","1042","1273"
"1104","1042","1267"
"1105","1042","1257"
"1106","1042","1321"
"1107","1042","1306"
"1108","1042","1301"
"1109","1042","1300"
"1110","1042","1314"
"1111","1042","1264"
"1112","1042","1311"
"1113","1042","1323"
"1114","1042","1304"
"1115","1042","1313"
"1116","1042","1271"
"1117","1042","1259"
"1118","1042","1299"
"1119","1042","1261"
"1120","1042","1262"
"1121","1042","1263"
"1122","1042","1274"
"1123","1042","1277"
"1125","1042","1281"
"1127","1043","1180"
"1128","1043","1194"
"1129","1043","1195"
"1130","1043","1196"
"1131","1043","1199"
"1132","1044","1057"
"1133","1044","1058"
"1134","1045","1112"
"1135","1045","1111"
"1136","1046","1032"
"1137","1046","1039"
"1138","1046","1038"
"1139","1046","1026"
"1140","1046","1044"
"1141","1046","1043"
"1142","1046","1041"
"1143","1047","1009"
"1144","1040","1232"
"1145","1048","1185"
"1146","1048","1183"
"1147","1049","1184"
"1148","1043","1197"
"1149","1043","1198"
"1150","1045","1113"
"1151","1005","1063"
"1152","1050","1105"
"1153","1051","1108"
"1154","1051","1159"
"1155","1051","1161"
"1156","1051","1160"
"1157","1051","1121"
"1158","1051","1119"
"1159","1051","1122"
"1160","1051","1107"
"1161","1051","1120"
"1162","1052","1109"
"1163","1052","1125"
"1164","1052","1127"
"1165","1052","1126"
"1166","1052","1128"
"1167","1052","1129"
"1168","1052","1130"
"1169","1052","1131"
"1170","1042","2003"
"1171","1042","2004"
"1172","1042","2005"
"1173","1042","1318"
"1174","1042","2006"
"1175","1042","2007"
"1176","1042","1322"
"1177","1042","1332"
"1178","1042","2019"
"1179","1055","1253"
"1180","1053","1004"
"1181","1057","1004"
"1182","1056","1162"
"1183","1051","1123"
"1184","1058","1051"
"1185","1059","1051"
"1192","1061","1253"
"1193","1062","1071"
"1194","1042","2009"
"1195","1042","2012"
"1196","1051","2028"
"1197","1051","2029"
"1198","1042","2013"
"1199","1042","2014"
"1200","1042","2015"
"1201","1042","1279"
"1202","1051","2032"
"1203","1042","2008"
"1204","1042","2021"
"1205","1065","1101"
"1206","1065","1098"
"1207","1065","1095"
"1208","1065","1093"
"1209","1065","1092"
"1210","1065","1091"
"1211","1065","1090"
"1212","1065","1089"
"1213","1065","1087"
"1214","1066","1075"
"1215","1066","1014"
"1216","1066","1013"
"1217","1066","1012"
"1218","1066","1011"
"1219","1066","1010"
"1220","1067","2037"
"1221","1067","2036"
"1222","1067","2038"
"1223","1067","2035"
"1224","1067","2034"
"1225","1067","2033"
"1226","1068","1051"
"1227","1069","1007"
"1228","1070","1002"
"1229","1071","1100"
"1230","1072","1175"
"1231","1082","1003"
"1232","1081","1004"
"1233","1084","1007"
"1234","1083","1051"
"1235","1076","1087"
"1236","1076","1089"
"1237","1076","1090"
"1238","1078","1091"
"1239","1077","1092"
"1240","1077","1093"
"1241","1076","1095"
"1242","1076","1098"
"1243","1076","1101"
"1244","1073","1253"
"1245","1075","1262"
"1246","1079","1262"
"1247","1075","1263"
"1248","1079","1263"
"1249","1075","1264"
"1250","1074","1264"
